"s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","s41","s42","s43","s44","s45","s46","s47","s48","s49","s50","s51","s52","s53","s54","s55","s56","s57","s58","s59","s60","s61","s62","s63","s64","s65","s66","s67","s68","s69","s70","s71","s72","s73","s74","s75","s76","s77","s78","s79"
166716.642886898,169895.110450165,172843.943959655,175575.352337561,178101.674658668,180423.08884109,182542.255747118,184378.645234501,185009.08094293,185346.61846517,185655.000589717,185932.468276131,186189.635678962,186960.756319133,188030.921135875,189027.236147275,189934.589845013,191342.238364446,192265.76892364,193073.046700319,193763.355273133,194478.320803304,195170.290236815,195795.928091751,196382.782794913,196983.73868902,197155.518487095,197417.850325292,197677.265711135,197837.548949464,198151.177025516,198540.30484882,199036.027249807,199638.512577327,200228.513123547,200649.29466558,201016.017094762,201379.102629701,201708.057036463,202063.749213217,202427.386014455,202767.244534637,203078.343370634,203369.096824361,203632.305916873,203874.842831535,204097.192004746,204268.936457605,204415.100171235,204553.254730581,204720.524203385,204826.547678341,204934.695114707,205037.580474484,205082.440373177,205080.838934298,205125.818081868,205172.315383642,205239.390558351,205291.827738162,205336.584114008,205375.762574398,205411.411263625,205435.601960068,205462.898990396,205485.650160985,205511.88300758,205536.545224037,205563.375195465,205585.086844282,205608.178862673,205621.168374045,205636.537298758,205647.615873624,205659.540042797,205667.172158468,205678.157734721,205681.389134383,205681.281027045,205681.016146456
166716.642886898,166369.825790127,166054.447189359,165767.606522795,165506.679426895,164936.308290836,163894.606972951,163505.583121062,163855.657651102,164321.756828722,164747.497101654,165136.452053147,165491.577846096,165835.497681622,165842.908939855,165824.574639232,165808.689193498,166348.542158789,167223.847183337,168070.57870323,168857.306274311,169614.966724658,170318.653168016,170959.603929375,171539.601457661,171977.442160331,174005.248659624,176083.303487066,178167.197386341,180038.153367069,181830.464871265,183609.510745253,185322.613129541,186733.733777071,187848.11331699,188952.415237886,190001.169936544,190930.041823243,191784.859767563,192536.464229705,193199.171503376,193817.928250623,194422.388288969,195053.930846957,195625.759253389,196150.2219011,196661.557472973,197145.020411288,197635.627582532,198116.854508957,198615.708079898,199148.315158008,199630.10115873,200097.691626935,200523.010792423,200847.688512399,201144.498298443,201439.23238483,201777.730376177,202001.734067947,202208.269731541,202429.979830575,202639.411048597,202844.142221273,203045.145984317,203236.045028824,203402.286970318,203543.609832296,203681.185076055,203812.226889551,203935.61921035,204039.874497817,204156.011997764,204263.901173071,204355.467357143,204419.937232915,204491.803478107,204554.183153513,204631.343426998,204677.28013532
166716.642886898,169895.110450165,172843.943959655,175575.352337561,178101.674658668,180542.761462354,182965.642337704,185049.418114949,186072.836231958,186809.206853062,187482.972194467,188096.185812296,188659.501096158,189685.302371686,190973.972389935,192168.404197979,193258.925076454,194421.097777081,195829.579622292,197148.301772576,198268.503322798,199361.465905724,200389.674217891,201327.00535762,202188.900260384,202989.336691831,203288.960716775,203938.545450736,204612.569991189,205182.656539159,205569.799910157,205792.699359071,206195.165697694,206655.456757026,207223.203223869,207681.912858574,208090.49392604,208411.397258758,208713.68950827,209065.724317713,209346.61605925,209622.930092727,209904.270482754,210104.098774599,210301.171501404,210484.111799361,210669.38332663,210750.409766018,210774.958205936,210781.011048128,210799.578273145,210754.641874977,210721.613883628,210686.630960754,210615.339863826,210531.009237705,210482.121550018,210484.960310197,210486.403059405,210497.5725359,210497.646469791,210472.051397398,210479.780613294,210508.691785318,210543.313558301,210577.198563093,210611.827406924,210644.135697391,210680.354580325,210714.378731745,210747.80855112,210772.56042249,210801.238319392,210812.255798273,210828.305678995,210846.254984144,210863.091170267,210873.419730626,210883.436623804,210898.723028942
166716.642886898,169895.110450165,172843.943959655,175575.352337561,178101.674658668,180434.108001915,182581.210882644,186405.916045144,188406.439176193,189848.484074349,191171.943138593,192380.80684189,193494.044383866,191942.46474814,189722.304809239,187741.08107184,185956.536034631,184393.957472762,183185.436618595,182261.186699191,181682.2139469,181097.439136883,180535.451520938,180032.331773342,179127.585408044,177375.444779086,174672.512875957,172392.776020357,170475.713772228,168941.0997347,167388.316052311,165983.309912784,164421.283281086,163144.037854964,162137.700969233,161323.630270361,160482.804182352,159669.410471404,158953.710694014,158343.380925563,157785.004896857,157330.838491179,156949.356994269,156611.787377572,156352.754234083,156068.844347771,155687.961188503,155657.904167297,155674.867985784,155658.351433545,155735.166309462,155778.015074706,155845.668935948,155953.12211961,156052.576176236,155858.242801682,155744.952744394,155670.914485301,155581.884464688,155558.223161231,155519.336304457,155428.088386789,155405.445970608,155426.9084709,155452.553087684,155460.30852662,155442.210826655,155433.281275893,155419.077703351,155383.619709296,155343.821862375,155314.033197118,155242.088148096,155166.076896839,155102.934681135,155086.034984309,155027.832104466,154997.525959042,154905.934243708,154879.447495507
166716.642886898,173495.093943811,179911.044053283,185963.379668027,191655.144227776,197432.897549841,203559.654842581,210534.134667847,216338.763393884,221559.303483619,226425.924422935,230951.620780065,235155.616502239,238566.849405079,241697.918926036,244587.959180041,247248.217598609,250097.609252406,252885.025556306,255438.46837847,257702.473617095,259853.063400609,261848.274974663,263682.006545816,265344.633362655,266658.736253855,267366.621509157,268367.030537178,269534.13866382,270654.14482211,271771.902477621,272891.938279117,273893.970783578,274938.246024038,275960.321667954,276994.41954861,278127.087956748,279193.889146463,280195.403457194,281263.837996693,282242.846878332,283181.171623769,284020.817242287,284684.390861954,285308.250154085,285886.691155679,286467.183431929,286916.369015592,287363.03547181,287749.271356987,288216.374875298,288612.378834369,288993.269294805,289373.968911471,289677.577677175,289878.686489718,290051.72558001,290225.666262564,290444.755463901,290626.19398527,290782.509009123,290928.004146948,291105.46179,291297.5726144,291443.426903292,291584.005536411,291709.300159396,291819.497356713,291930.776774442,292027.65368955,292122.346019506,292208.62790578,292307.315953919,292383.731742003,292461.762934232,292520.453737791,292591.806235279,292641.968081375,292720.187505431,292772.599753411
166716.642886898,162917.689979997,159531.649184076,156507.727345836,153802.377138872,151501.460909641,149630.68098093,148842.27712608,147699.21499922,146550.131397652,145510.522119293,144570.377127994,143718.361380036,143129.500241783,143068.433476657,143047.340693638,143024.458615451,143515.333624006,143971.664717368,144353.85275783,144745.145968375,145207.924842551,145647.618072881,146057.172966433,146453.38562668,146826.083259325,147141.554369025,147817.6164254,148557.042175812,149169.737021339,149685.613430901,149984.457243179,150345.150023452,150667.238874694,151008.520310511,151532.354264612,152522.258895389,153421.302578934,154223.56347821,154948.306174848,155578.818981644,156147.180965818,156699.976432652,157133.867720807,157521.482389749,157872.701336958,158035.609168523,158684.607286599,159215.572659856,159697.876274536,160055.899652503,160375.37723354,160676.387144214,160935.749278151,161199.456556856,161486.504181143,161691.378424595,161917.17291312,162096.447086236,162254.059051936,162385.301568721,162483.658152698,162572.520404111,162635.800575182,162686.610329981,162727.847738603,162763.603773335,162805.082881996,162796.203026761,162795.405394451,162804.070511112,162835.516079509,162864.095921256,162871.214074687,162885.971438462,162907.730021193,162923.130338387,162934.786275909,162939.022455042,162956.132296501
166716.642886898,173495.093943811,179911.044053283,185963.379668027,191655.144227776,196566.652684527,200456.186473977,203357.416544827,207435.48555689,211559.19822858,215388.621760994,218936.608615633,222221.849085178,225155.34690206,228121.225163947,230874.109874591,233410.576587154,236744.52445418,240151.740782559,243320.522905845,246007.162502696,248499.428033605,250818.283065051,252938.148103994,254840.413903356,256529.879484838,258156.936017014,259792.760586692,261414.830129221,262921.632760787,264372.519874836,265838.515542655,267065.744410562,268125.097890916,268983.776663565,269796.732480925,270693.2957625,271427.817151823,272101.322375837,272597.359647144,273005.714055368,273380.998576223,273775.358277471,274312.618870262,274762.446095599,275180.027960473,275614.726220057,275966.942690073,276268.768782484,276573.626047676,277083.537439794,277569.801764589,278033.439550438,278448.338778245,278899.5254376,279320.604020997,279756.395700741,280180.103841238,280583.466372158,280910.151876034,281208.258812637,281504.155297367,281785.748411873,282058.086802791,282277.502646503,282488.504862623,282687.480382463,282865.291592972,283038.028464421,283193.666413564,283341.687662564,283471.258603219,283597.030400512,283721.257197241,283823.63605778,283903.561880398,283978.7466597,284053.161348362,284135.273886319,284195.955700631
166716.642886898,169895.110450165,172843.943959655,175575.352337561,178101.674658668,181022.24624923,184669.031486952,187757.00141628,190317.45391921,192620.229292538,194742.879258458,196699.197302763,198496.919036619,200120.651624233,200992.575141619,201720.014753712,202386.177236916,203675.140955187,205906.359196934,208098.690133952,210093.363294406,211975.639822817,213732.326948809,215337.298014578,216776.809313234,217877.366084195,218847.689869835,220114.986118784,221519.33046085,222865.771714141,223945.609033603,224904.338452324,226040.544491596,227128.19841084,228190.944065607,229176.186948264,230054.50995622,230795.917612236,231486.286793147,232207.563367083,232812.284447298,233404.012282757,233987.435230533,234342.179336295,234682.110934847,234990.878829108,234935.366610412,235450.478524786,235996.046120627,236509.229729442,237148.827849025,237801.024484115,238327.796769052,238804.859849309,239328.599353947,239859.510800545,240283.438060251,240612.451033469,240969.296875407,241268.911412759,241567.663998428,241856.806792155,241917.1571966,241825.19326998,241648.106142362,241473.106657324,241298.103862602,241159.955822432,240927.944424242,240735.73789637,240560.898439712,240435.910760041,240249.667198036,240111.294422919,239975.863253017,239917.571096135,239762.778021704,239696.747009295,239554.509712017,239513.997413511
166716.642886898,169895.110450165,172843.943959655,175575.352337561,178101.674658668,180523.860509488,182898.726596558,184943.344599918,186046.087310011,186881.518596634,187646.270769825,188343.187468381,188983.086259178,187919.920138657,185643.687305968,183520.555110688,181609.030744718,179476.738916129,178342.249294974,177551.449076759,177007.688509627,176412.055613159,175825.085108112,175304.876712408,174347.668136492,172328.229510388,169513.781239442,166927.196856026,164740.642921239,162960.676922924,161242.85341474,159908.803616609,157924.626189212,156144.367602767,154423.332770769,152653.02917113,150705.431188984,148578.690578088,146769.933462748,145264.735374742,143884.255456953,142708.759398309,141582.930629734,140538.814384702,139604.934528591,138759.378126517,138044.920753782,137660.91280587,137285.500214819,136918.189708967,136664.732257479,136409.400121627,136200.063819934,136023.298853151,135904.468554016,135860.859639867,135891.52598179,135908.946828307,136109.017445028,136528.017927062,136840.722219072,137149.090721092,137399.281691985,137640.749116587,137842.861764284,138044.843591492,138284.462200236,138474.334535656,138669.005549945,138851.55071582,139033.825910193,139169.996522172,139363.64421928,139491.125279246,139633.637947038,139718.817120599,139872.949794532,139952.4325953,140095.446944308,140163.759438362
166716.642886898,162917.689979997,159531.649184076,156507.727345836,153802.377138872,151125.219181636,148336.373944905,145280.843372863,142811.716049141,140669.642670388,138745.78800577,137015.915494587,135458.354035659,134222.68486587,132468.233036746,130833.198126097,129363.404888856,128486.179545454,128555.236313424,128767.009822085,129022.684103661,129300.12239371,129575.576607916,129815.952045909,130071.118747587,130404.625573572,130301.061552147,130231.062976382,130112.607570163,130038.173509644,129855.925319591,129785.159407867,129649.377451986,129533.934193979,129409.669973457,129240.250047295,128712.609235137,127938.215231752,127630.097085013,127908.388994478,128170.443414997,128423.657270006,128675.773546035,128961.68576839,129211.357510433,129434.839473322,129656.154991745,129810.952185522,130007.750487366,130160.079236965,130024.020477086,129967.893900248,129914.070546285,129894.788884405,129905.227169515,129991.294261462,130135.877413623,130275.037326032,130349.954750932,130435.99929202,130494.928256399,130502.778882311,130538.781182558,130579.975623548,130624.972411926,130663.111759395,130737.373687713,130810.624747788,130894.920101326,130962.574358129,131027.3829592,131095.490597371,131178.375263442,131239.802448373,131302.15138183,131343.422915582,131412.356741138,131447.893649949,131497.06859645,131525.850239009
